Column 0,Mes,Subagencia,SKU,Hectolitros,Scored Label Mean,Scored Label Standard Deviation
545523,1/3/2018 12:00:00 AM,10118,24,0,0,0.000261031137801529
545524,2/3/2018 12:00:00 AM,10197,1,,492.623936717647,154.555879964561
545525,2/3/2018 12:00:00 AM,10203,1,,18.0743946968554,7.987075959933
545526,2/3/2018 12:00:00 AM,10198,1,,22.8705915249961,9.19864452009183
545527,2/3/2018 12:00:00 AM,10204,1,,45.3030065592048,10.8835900065633
545528,2/3/2018 12:00:00 AM,10199,1,,31.3506410849226,17.5226967666887
545529,2/3/2018 12:00:00 AM,10146,1,,888.806927705354,858.077800026117
545530,2/3/2018 12:00:00 AM,10206,1,,52.787023737146,8.90291488647422
545531,2/3/2018 12:00:00 AM,10207,1,,10.5835254052139,4.137727053521
545532,2/3/2018 12:00:00 AM,10156,1,,116.908746137217,110.074316892222
545533,2/3/2018 12:00:00 AM,10209,1,,291.444906040399,57.5848117186793
545534,2/3/2018 12:00:00 AM,10211,1,,18.5226648026934,25.9617189344772
545535,2/3/2018 12:00:00 AM,10212,1,,57.2845205947163,27.2133135822578
545536,2/3/2018 12:00:00 AM,10158,1,,1200.59597721922,565.480131665102
545537,2/3/2018 12:00:00 AM,10214,1,,356.042046671274,154.363354900996
545538,2/3/2018 12:00:00 AM,10215,1,,115.582013266134,89.0264281144186
545539,2/3/2018 12:00:00 AM,10216,1,,115.571539240644,86.8982191747419
545540,2/3/2018 12:00:00 AM,10217,1,,9.8395889349103,23.1709121721837
545541,2/3/2018 12:00:00 AM,10218,1,,58.2798988903916,31.0770036447587
545542,2/3/2018 12:00:00 AM,10129,1,,697.307951629856,392.197924693572
545543,2/3/2018 12:00:00 AM,10130,1,,230.419749884899,206.174903519588
545544,2/3/2018 12:00:00 AM,10131,1,,139.706790427386,104.690991291941
545545,2/3/2018 12:00:00 AM,10159,1,,72.0349754620915,72.6433266260916
545546,2/3/2018 12:00:00 AM,10133,1,,50.4663627856987,76.3042009604188
545547,2/3/2018 12:00:00 AM,10134,1,,58.9480664273622,77.5025026439924
545548,2/3/2018 12:00:00 AM,10135,1,,51.5632202412965,76.7152259995568
545549,2/3/2018 12:00:00 AM,10136,1,,50.7993056395318,77.0314670726506
545550,2/3/2018 12:00:00 AM,10161,1,,160.336336276797,47.9272769956475
545551,2/3/2018 12:00:00 AM,10141,1,,79.4540363601972,68.7699650844342
545552,2/3/2018 12:00:00 AM,10169,1,,33.5763480970588,47.0916069651531
545553,2/3/2018 12:00:00 AM,10229,1,,147.525279744001,44.9002745914719
545554,2/3/2018 12:00:00 AM,10231,1,,14.6226675176471,6.90274799177918
545555,2/3/2018 12:00:00 AM,10259,1,,21.1497557371972,12.9508599708087
545556,2/3/2018 12:00:00 AM,10176,1,,16.9973514833333,49.9806310148959
545557,2/3/2018 12:00:00 AM,10003,1,,27.7646587552941,3.86117548725674
545558,2/3/2018 12:00:00 AM,10233,1,,3.88838436281157,1.79829602067213
545559,2/3/2018 12:00:00 AM,10234,1,,15.3952203404507,4.9417430265081
545560,2/3/2018 12:00:00 AM,10235,1,,8.27270320880087,3.83157388843126
545561,2/3/2018 12:00:00 AM,10005,1,,2.80919623235294,0.823622404853153
545562,2/3/2018 12:00:00 AM,10236,1,,4.48026828821263,2.86266679344283
545563,2/3/2018 12:00:00 AM,10237,1,,1.00437500955717,2.4540589476274
545564,2/3/2018 12:00:00 AM,10006,1,,927.107609609804,340.190193963949
